iter	Passed	Remaining
130	36773	243943
131	37009	243362
132	37286	243062
133	37552	242692
134	37834	242421
135	38082	241935
136	38273	241096
137	38529	240668
138	38753	240050
139	39002	239586
140	39211	238881
141	39435	238277
142	39721	238053
143	39991	237725
144	40215	237131
145	40440	236551
146	40698	236159
147	40910	235513
148	41105	234771
149	41323	234169
150	41519	233443
151	41736	232846
152	41931	232133
153	42114	231356
154	42302	230618
155	42499	229934
156	42709	229324
157	42911	228681
158	43095	227945
159	43282	227232
160	43485	226611
161	43701	226059
162	43912	225487
163	44096	224785
164	44299	224184
165	44497	223561
166	44712	223026
167	44922	222473
168	45135	221940
169	45324	221291
170	45519	220678
171	45728	220133
172	45922	219526
173	46111	218896
174	46314	218341
175	46519	217793
176	46790	217563
177	47027	217174
178	47260	216765
179	47529	216523
180	47773	216169
181	47990	215695
182	48227	215309
183	48472	214963
184	48760	214808
185	48926	214117
186	49120	213555
187	49337	213098
188	49597	212823
189	49819	212389
190	50081	212124
191	50317	211754
192	50594	211552
193	50850	211265
194	51106	210978
195	51366	210707
196	51570	210208
197	51864	210078
198	52053	209522
199	52293	209174
200	52551	208900
201	52810	208628
202	53077	208389
203	53322	208063
204	53587	207815
205	53872	207643
206	54136	207392
207	54394	207115
208	54670	206909
209	54941	206683
210	55195	206393
211	55421	206000
212	55703	205815
213	55965	205555
214	56203	205209
215	56447	204882
216	56731	204702
217	56989	204431
218	57172	203887
219	57350	203333
220	57543	202833
221	57764	202437
222	57951	201919
223	58135	201399
224	58317	200872
225	58509	200380
226	58727	199982
227	58921	199505
228	59102	198987
229	59282	198466
230	59473	197988
231	59679	197560
232	59895	197167
233	60079	196670
234	60260	196165
235	60440	195663
236	60618	195157
237	60821	194730
238	61075	194468
239	61255	193975
240	61437	193490
241	61634	193054
242	61853	192688
243	62042	192229
244	62224	191752
245	62405	191274
246	62596	190832
247	62814	190469
248	63003	190023
249	63189	189569
250	63396	189179
251	63602	188787
252	63829	188461
253	64022	188035
254	64207	187586
255	64392	187139
256	64589	186732
257	64805	186378
258	65009	185993
259	65204	185582
260	65386	185137
261	65583	184734
262	65800	184390
263	65992	183979
264	66173	183537
265	66351	183090
266	66553	182710
267	66768	182366
268	66963	181970
269	67142	181533
270	67322	181100
271	67507	180682
272	67712	180318
273	67918	179960
274	68102	179541
275	68286	179127
276	68468	178710
277	68675	178358
278	68926	178121
279	69167	177859
280	69335	177409
281	69510	176979
282	69725	176653
283	69949	176352
284	70117	175909
285	70283	175464
286	70459	175043
287	70646	174652
288	70851	174308
289	71029	173899
290	71195	173463
291	71362	173028
292	71539	172621
293	71748	172294
294	71938	171920
295	72126	171544
296	72300	171136
297	72472	170723
298	72672	170379
299	72866	170021
300	73034	169604
301	73213	169214
302	73393	168828
303	73580	168461
304	73787	168137
305	73990	167807
306	74190	167472
307	74367	167086
308	74552	166717
309	74769	166422
310	74955	166057
311	75125	165662
312	75333	165349
313	75515	164978
314	75717	164654
315	75907	164306
316	76080	163920
317	76252	163535
318	76426	163155
319	76642	162866
320	76844	162546
321	77021	162176
322	77194	161798
323	77406	161502
324	77615	161201
325	77843	160939
326	78059	160654
327	78264	160347
328	78478	160057
329	78705	159796
330	78929	159527
331	79135	159225
332	79336	158910
333	79544	158611
334	79773	158356
335	79991	158078
336	80191	157765
337	80403	157476
338	80602	157163
339	80817	156881
340	81040	156614
341	81256	156335
342	81447	156008
343	81663	155730
344	81890	155472
345	82094	155172
346	82299	154874
347	82495	154560
348	82717	154295
349	82926	154007
350	83140	153726
351	83346	153433
352	83549	153135
353	83776	152880
354	83974	152573
355	84174	152271
356	84387	151991
357	84585	151686
358	84803	151418
359	85020	151148
360	85216	150839
361	85408	150525
362	85607	150225
363	85826	149960
364	86025	149660
365	86220	149354
366	86423	149062
367	86625	148770
368	86844	148506
369	87054	148227
370	87277	147972
371	87610	147900
372	87896	147750
373	88135	147520
374	88329	147215
375	88537	146934
376	88766	146687
377	88983	146422
378	89261	146256
379	89497	146021
380	89735	145790
381	89957	145533
382	90173	145265
383	90403	145022
384	90639	144787
385	90888	144574
386	91118	144329
387	91343	144078
388	91574	143834
389	91820	143616
390	92049	143371
391	92228	143048
392	92450	142793
393	92683	142553
394	92921	142322
395	93158	142090
396	93348	141785
397	93577	141542
